,!VEND,NAME,REFNUM,TIMESTAMP,PRINTAS,ADDR1,ADDR2,ADDR3,ADDR4,ADDR5,VTYPE,CONT1,CONT2,PHONE1,PHONE2,FAXNUM,EMAIL,NOTE,TAXID,LIMIT,TERMS,NOTEPAD,SALUTATION,COMPANYNAME,FIRSTNAME,MIDINIT,LASTNAME,CUSTFLD1,CUSTFLD2,CUSTFLD3,CUSTFLD4,CUSTFLD5,CUSTFLD6,CUSTFLD7,CUSTFLD8,CUSTFLD9,CUSTFLD10,CUSTFLD11,CUSTFLD12,CUSTFLD13,CUSTFLD14,CUSTFLD15,1099,HIDDEN,DELCOUNT
16,VEND,Gussman's Nursery,34,934380930,Gussman's Nursery,Gussman's Nursery,P.O. Box 5033,Bayshore CA 94326,,,Materials,Lara Gussman,Ed,415-555-9533,415-555-9936,415-555-9534,ggrowers@samplename.com,1V-2345-00,,"-6,000.00",Net 15,,Ms.,Gussman's Nursery,Lara,F.,Gussman,,,,15%,<insert URL here>,,,,,,,,,,,N,N,0
17,VEND,Internal Revenue Service,36,934380930,Internal Revenue Service,Internal Revenue Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,0
18,VEND,Mendoza Mechanical,109,970002142,Mendoza Mechanical,Mendoza Mechanical,Kevin Mendoza,456 E Bayshore Frwy,"Bayshore, CA 94400",USA,,Kevin Mendoza,,888-555-5858,,,mendoza@samplename.com,123123123,,,,,Mr,Mendoza Mechanical,Kevin,,Mendoza,,,,,,,,,,,,,,,,N,N,0
19,VEND,Metal Works,37,934380930,,Metal Works,740 Washington Rd,Middlefield CA 94482,,,Subcontractors,,,415-555-7422,,415-555-7426,metals@samplename.com,85-93117,,,2% 10 Net 30,,,,,,,,,,5%,,,,,,,,,,,,N,N,0
20,VEND,Middlefield Nursery,1,934380927,Middlefield Nursery,Middlefield Nursery,P.O. Box 620,Middlefield CA 94482,,,Materials,Scott,,415-555-0305,,,,09876,12-3456789,,Net 30,,,Middlefield Nursery,Scott,,Metzger,,,,,,,,,,,,,,,,Y,N,0
21,VEND,Mike Scopellite,78,1071513407,Michael J. Scopellite,Mike Scopellite,1029 N. Chesin St,Apt 7,"Bayshore, CA 94482",,Subcontractors,Mike Scopellite,,415-555-8426,,,scopeman@samplename.com,1099-12385,621-78-2089,,Due on receipt,,,,Mike,,Scopellite,,,,,,,,,,,,,,,,Y,N,0
22,VEND,Nolan Hardware and Supplies,38,934380930,,Nolan Hardware and Supplies,221 Old Bayshore Rd,Bayshore CA 94326,,,Materials,Thomas,,415-555-5483,,,,5-487-00,12-3456789,,Net 15,,,,Thomas,A.,Nolan,,,,,,,,,,,,,,,,Y,N,0
23,VEND,Nye Properties,39,934380930,,Carl Nye,101 N. Main Street,"Bayshore, CA 94326",,,,Carl Nye,,415-555-7530,,,,176-MO,,,,,,,Carl,,Nye,,,,carln@aol.com,,,,,,,,,,,,N,N,0
24,VEND,ODI,91,1071525574,"Organic Distributors, Inc.","Organic Distributors, Inc.",5701 N. Baseline Rd,"Tucson, AZ 85751",,,,,,520-555-1212,520-555-6241,520-555-2403,od_service@samplename.com,,,,,,,"Organic Distributors, Inc.",,,,,,,,,,,,,,,,,,,N,N,0
25,VEND,Patio & Desk Designs,40,934380930,,Patio & Desk Designs,270 Old Bayshore Rd,Bayshore CA 94326,,,Consultant,,Susan,415-555-8965,,,,DE-0918,13-2456789,,,,,,,,,,,,susan@intuit99.com,,,,,,,,,,,,Y,N,0
26,VEND,QBCC - 0109,108,969998488,QuickBooks Credit Card - 0109,QuickBooks Credit Card,PO BOX 0000,"Bayshore, Ca 94400",,,,,,,,,,,,,,,,QuickBooks Credit Card,,,,,,,,,,,,,,,,,,,N,N,0
27,VEND,QBCC - 5678,107,969998440,QuickBooks Credit Card - 5678,QuickBooks Credit Card,PO BOX 0000,"Bayshore, CA 94400",,,,,,,,,,,,,,,,QuickBooks Credit Card,,,,,,,,,,,,,,,,,,,N,N,0
28,VEND,QBCC - 8201,106,969998390,QuickBooks Credit Card - 8201,QuickBooks Credit Card,PO BOX 0000,"Bayshore, Ca 94400",,,,,,,,,,,,,,,,QuickBooks Credit Card,,,,,,,,,,,,,,,,,,,N,N,0
29,VEND,Robert Carr Masonry,41,934380930,Robert Carr,Robert Carr Masonry,2780 County Rd,Bayshore CA 94326,,,Subcontractors,Robert,Steve Washuta,415-555-2046,,415-555-2047,,678J-09,98-7654321,,Net 30,,,,,,,,,,N/A,,,,,,,,,,,,Y,N,0
30,VEND,Sena Lumber & Building Materials,42,934380930,,Sena Lumber & Building Materials,P.O. Box 2816,Bayshore CA 94326,,,Materials,Emory,,415-555-0797,,415-555-7283,,,,,Net 15,,,,Emory,,Sena,,,,,,,,,,,,,,,,N,N,0
31,VEND,Smallson & Associates,43,934380930,,Smallson & Associates,"Fran Smallson, Attorney",P.O. Box 2836,Middlefield CA 94482,,Consultant,Fran,Celso Guillermo Reyes,415-555-7900,,,fran@samplename.com,2907,,,Net 30,,,,Fran,,Smallson,,,,N/A,,,,,,,,,,,,N,N,0
32,VEND,Sowers Office Equipment,44,934380930,,Sowers Office Equipment,4872 County Rd,Bayshore CA 94326,,,Materials,Cam Patton,,415-555-1370,,415-555-1371,,RC 93,,,Net 30,,,,Robert,W.,Sowers,,,,N/A,,,,,,,,,,,,N,N,0
33,VEND,State Board of Equalization,2,934380927,,State Board of Equalization,P.O. Box 3456,Sacramento CA 94280,,,Tax agency,,,415-555-0000,,,,ABCD 11-234567,,,,,,,,,,,,,N/A,,,,,,,,,,,,N,N,0
34,VEND,Sult Advertising,45,934380930,Wayne Sult Advertising,Wayne Sult Advertising,P.O. Box 783,Bayshore CA 94326,,,Subcontractors,Wayne,Renee Barley,415-555-1813,,415-555-1883,wayne@samplename.com,8409,98-7654321,,Net 30,,,,,,,,,,0%,,,,,,,,,,,,Y,N,0
35,VEND,Townley Insurance Agency,3,934380928,Mark Townley Insurance Agency,Mark Townley Insurance Agency,P.O. Box 6257,Middlefield CA 94482,,,Professional Services,David Toering,,415-555-1919,,415-555-2929,,786-35-009-201,,,Net 30,,,,Mark,,Townley,,,,N/A,,,,,,,,,,,,N,N,0
36,VEND,Willis Orchards,46,934380930,"Willis Orchards, Inc.",Willis Orchards,650 Old Bayshore Rd,Bayshore CA 94326,,,Subcontractors,Edward,Scott Turnbull,415-555-9977,,415-555-9991,edw@samplename.com,189-WAD,99-8877665,,Due on receipt,,,,Edward,D.,Willis,,,,3%,,,,,,,,,,,,Y,N,0
