,!CUST,NAME,REFNUM,TIMESTAMP,BADDR1,BADDR2,BADDR3,BADDR4,BADDR5,SADDR1,SADDR2,SADDR3,SADDR4,SADDR5,PHONE1,PHONE2,FAXNUM,EMAIL,NOTE,CONT1,CONT2,CTYPE,TERMS,TAXABLE,SALESTAXCODE,LIMIT,RESALENUM,REP,TAXITEM,NOTEPAD,SALUTATION,COMPANYNAME,FIRSTNAME,MIDINIT,LASTNAME,CUSTFLD1,CUSTFLD2,CUSTFLD3,CUSTFLD4,CUSTFLD5,CUSTFLD6,CUSTFLD7,CUSTFLD8,CUSTFLD9,CUSTFLD10,CUSTFLD11,CUSTFLD12,CUSTFLD13,CUSTFLD14,CUSTFLD15,JOBDESC,JOBTYPE,JOBSTATUS,JOBSTART,JOBPROJEND,JOBEND,HIDDEN,DELCOUNT,PRICELEVEL
12,CUST,Ecker Design,8,934380929,Ecker Design,109 N. Elm Street,"Middlefield, CA 94482",,,,,,,,415-555-7896,,415-555-4563,deana_ecker@samplename.com,,Deana Ecker,,Commercial,Net 30,Y,Tax,,,,San Domingo,,,,Deana,,Ecker,,5/15,,,,,,,,,,,,,,,,0,,,,N,0,
13,CUST,Golliday Sporting Goods,9,934380929,Golliday Sporting Goods,370 Easy Steet,"Middlefield, CA 94482",,,,,,,,415-555-9837,,415-555-0987,mgolliday@samplename.com,,Michael Golliday,Stephanie Wilson,Commercial,1% 10 Net 30,Y,Tax,,,,San Thomas Group,,,Golliday Sporting Goods,Michael,,Golliday,,9/9,,,,,,,,,,,,,,,,0,,,,N,0,
14,CUST,Golliday Sporting Goods:155 Wilks Blvd.,10,934380929,Golliday Sporting Goods,370 Easy Steet,"Middlefield, CA 94482",,,Golliday Sporting Goods,155 Wilks Blvd.,"Middlefield, CA 94482",,,415-555-9837,,415-555-0987,,,,,Commercial,1% 10 Net 30,N,,,,,San Thomas Group,12/10/2003:  Mike called to ask us to spray for white bugs on fruit trees the next time we come out.,,,,,,,,,,,,,,,,,,,,,,,3,,,,N,0,
15,CUST,Golliday Sporting Goods:75 Sunset Rd.,11,934380929,Sporting Goods,370 Easy Steet,"Middlefield, CA 94482",,,Sporting Goods,75 Sunset Road,"Bayshore, CA 94326",,,415-555-9837,,415-555-0987,,,,,Commercial,1% 10 Net 30,N,,,,,San Thomas Group,,,,,,,,,,,,,,,,,,,,,,,,3,,,,N,0,
16,CUST,"Gregory, Dru",56,1071503175,Dru's Pharmacy,Dru Gregory,529 Main St,Bayshore CA 94326,,Dru's Pharmacy,Dru Gregory,529 Main St,Bayshore CA 94326,,415-555-8046,,,,,Dru Gregory,Kathleen Santo,Commercial,2% 10 Net 30,Y,Tax,,,,San Domingo,,,Dru's Pharmacy,Dru,,Gregory,,,,,,,,,,,,,,,,,,0,,,,N,0,
17,CUST,"Heldt, Bob",74,1071514468,Bob Heldt,459 Saxon Ave,East Bayshore CA 94327,,,,,,,,415-555-7663,,,bob_heldt@samplename.com,,Bob or Tracy Heldt,,Residential,Net 15,Y,Tax,,,,San Domingo,,,,Bob,,Heldt,Tracy,,,,,,,,,,,,,,,,,0,,,,N,0,
18,CUST,"Hermann, Jennifer",75,1071508883,Jennifer Hermann,7221 W. Sun Valley Rd,"Bayshore, CA 94482",,,Jennifer Hermann,7221 W. Sun Valley Rd,"Bayshore, CA 94482",,,415-555-4695,415-555-9936,415-555-4696,jhermann@samplename.com,3060313,Jennifer,John,Residential,Net 30,Y,Tax,"3,000.00",,Shane B. Hamby:3:SBH,"County, San Thomas",,Mrs,,Jennifer,,Hermann,John,05/11/1979,,,,,,,,,,,,,,,,0,,,,N,0,
19,CUST,"Hermann, Jennifer:Residential Maintenance",76,1071514334,Jennifer Hermann,7221 W. Sun Valley Rd,"Bayshore, CA  94482",,,Jennifer Hermann,7221 W. Sun Valley Rd,"Bayshore, CA  94482",,,415-555-4695,415-555-9936,415-555-4696,,3060313,Jennifer,John,Residential,Net 30,N,,300.00,,Shane B. Hamby:3:SBH,"County, San Thomas",,Mrs,,Jennifer,,Hermann,John,05/11/1979,,,,,,,,,,,,,,Monthly Lawn Maintenance,Contract,2,2024-06-01,2025-05-31,,N,0,
20,CUST,"Hughes, David",12,934380929,David Hughes,95 Amber Street,"Bayshore, CA 94326",,,,,,,,415-555-6687,,,dhughes@samplename.com,,David,James Bussey,Residential,Net 15,Y,Tax,,,,San Domingo,,,,David,,Hughes,Deana,1/11,,,,,,,,,,,,,,,,0,,,,N,0,
21,CUST,Jasmine Park,72,1071514245,Jasmine Park,Cristina Jimenez,421 Jasmine Parkway,East Bayshore CA 94327,,,,,,,,,,cjimenez@samplename.com,,Cristina Jimenez,Robert D. Schmucker,Residential,Net 60,Y,Tax,,,Shane B. Hamby:3:SBH,San Domingo,,,Jasmine Park,Cristina,,Jimenez,,,,,,,,,,,,,,,,,,0,,,,N,0,
22,CUST,Jim's Family Store,13,934380929,Jim's Family Store,5647 Cypress Hill Rd,Bayshore CA 94326,,,,,,,,415-555-6579,,415-555-7845,jthomas@samplename.com,8080314,Jim Thomas,,Commercial,Net 30,Y,Tax,,,,San Thomas Group,10/20/2003:  Jim called to say he likes the design and start ASAP!,Mr.,Jim's Family Store,Jim,,Thomas,,10/4,,,,,,,,,,,,,,Commercial,Contract,2,2024-07-01,2025-06-30,,N,0,
23,CUST,Julie's Doll House,112,1197765612,Julie's Doll House,Julie Bradley,1060 Dear Dr.,"Ken, CA 94423",,Julie's Doll House,Julie Bradley,1060 Dear Dr.,"Ken, CA 94423",,909 555 9389,,,JBradley@DollHouse.com,,Julie Bradley,,,,Y,Tax,,,,"County, San Thomas",,Ms.,Julie's Doll House,Julie,,Bradley,,,,,,,,,,,,,,,,,,0,,,,N,0,
24,CUST,"Lee, Laurel",14,934380929,Laurel Lee,376 Pine Street,"Bayshore, CA 94326",,,,,,,,415-555-9811,,,laurellee@samplename.com,,Laurel Lee,Helmet,Residential,Net 30,Y,Tax,,,,San Domingo,,,,Laurel,,Lee,Helmet,2/14,,,,,,,,,,,,,,,,0,,,,N,0,
25,CUST,"Lee, Laurel:Lee Advertising",15,934380929,Laurel Lee,376 Pine Street,"Bayshore, CA 94326",,,Lee Advertising,900 Amber Street,"Middlefield, CA 94482",,,415-555-3709,,415-555-0011,,,Laurel Lee,Helmet,Commercial,,N,,,,,San Domingo,11/15/2003:  Laurel likes the design for the fountain but wants a bird added.,,Lee Advertising,Laurel,,Lee,,,,,,,,,,,,,,,,,,4,,,,N,0,
26,CUST,"Lee, Laurel:Lee Residence",16,934380929,Laurel Lee,376 Pine Street,"Bayshore, CA 94326",,,,,,,,415-555-9811,,,,,Laurel Lee,Helmet,Residential,Net 30,N,,,,,San Domingo,,,,Laurel,,Lee,,,,,,,,,,,,,,,,,,4,,,,N,0,
27,CUST,"Leon, Richard",17,934380929,Rick's Bar & Grill,222 Middlefield Ave.,"Middlefield, CA 94482",,,,,,,,415-555-2222,,,richard@samplename.com,,Richard Leon,,Commercial,Net 15,Y,Tax,,,,San Thomas Group,,Mr.,Rick's Bar & Grill,Richard,,Leon,Michele,3/21,,,,,,,,,,,,,,,,0,,,,N,0,
28,CUST,"Lo, David",88,1071508716,David Lo,4631 W. Indian Trail,"Middlefield, CA  98731",,,,,,,,415-555-8164,,,david_lo@samplename.com,,David Lo,,,8% 30 Net 60,Y,Tax,,,,"County, San Thomas",,,,David,,Lo,,,,,,,,,,,,,,,,,,0,,,,N,0,
29,CUST,"Lo, David:4631 W Indian Trail",100,1071516015,David Lo,4631 W. Indian Trail,"Middlefield, CA  98731",,,,,,,,415-555-8164,,,,,David Lo,,Commercial,8% 30 Net 60,N,,,,,"County, San Thomas",,,,David,,Lo,,,,,,,,,,,,,,,,,,0,,,,N,0,
30,CUST,"Lo, David:Landscaping",99,1071515878,David Lo,4631 W. Indian Trail,"Middlefield, CA  98731",,,,,,,,415-555-8164,,,,,David Lo,,Commercial,8% 30 Net 60,N,,,,,"County, San Thomas",,,,David,,Lo,,,,,,,,,,,,,,,,,,0,,,,N,0,
31,CUST,"Lochrie, Steven",71,1071514123,Mr Steven Lochrie,1921 Appleseed Lane,Bayshore CA 94326,,,Mr Steven Lochrie,1921 Appleseed Lane,Bayshore CA 94326,,,415-555-2850,,none,slochrie@samplename.com,3060312,Steven Lochrie,Lakshmi Balakrishna,Residential,Net 15,Y,Tax,,,,San Domingo,,Mr,,Steven,,Lochrie,,,,,,,,,,,,,,,,,,0,,,,N,0,
32,CUST,"Loomis, Anne",73,1071514373,Anne Loomis,1572 Appleseed Lane,Bayshore CA 94326,,,,,,,,415-555-7336,,,anne@samplename.com,,Anne Loomis,David Overfield,Residential,Due on receipt,Y,Tax,,,,San Domingo,,,,Anne,,Loomis,,,,,,,,,,,,,,,,,,0,,,,N,0,
33,CUST,"McCale, Ron",92,1071506656,"Mccale, Ron",4589 S. McNalley Rd,"Bayshore, CA  94482",,,"Mccale, Ron",4589 S. McNalley Rd,"Bayshore, CA  94482",,,415-555-7664,,,rmccale@samplename.com,,Ron McCale,,Residential,Net 15,Y,Tax,,,,,,,,Ron,,McCale,,11/09,,,,,,,,,,,,,,,,0,,,,N,0,
34,CUST,"McCale, Ron:Residential",96,1071526730,"Mccale, Ron",4589 S. McNalley Rd,"Bayshore, CA  94482",,,"Mccale, Ron",4589 S. McNalley Rd,"Bayshore, CA  94482",,,415-555-7664,,,,,Ron McCale,,Residential,Net 15,N,,,,,,,,,Ron,,McCale,,11/09,,,,,,,,,,,,,,,,0,,,,N,0,
35,CUST,Middlefield Elementary School,18,934380929,Middlefield Elementary School,100 Montecito Drive,MIddlefield CA 94482,,,,,,,,415-565-8932,,415-565-1230,,,Carol Corcoran,Kellie Mecham,Commercial,Net 30,N,Non,,,,San Thomas Group,,,,,,,,,,,,,,,,,,,,,,,,0,,,,N,0,
36,CUST,"Molotsi, Hugh",69,1071507213,Hugh Molotsi,6856 Ocean View,Bayshore CA 94326,,,,,,,,415-555-4535,,,hugh@samplename.com,,Hugh Molotsi,,,Net 15,Y,Tax,,,,San Domingo,,,,Hugh,,Molotsi,,,,,,,,,,,,,,,,,,0,,,,N,0,
37,CUST,"Molotsi, Hugh:1487 Silverbell Ave",94,1071503488,Hugh Molotsi,6856 Ocean View,Bayshore CA 94326,,,Hugh Molotsi,1487 Silverbell Ave,East Bayshore CA 94327,,,415-555-4535,,,,,Hugh Molotsi,,Commercial,Net 15,N,,,,,San Domingo,,,,Hugh,,Molotsi,,,,,,,,,,,,,,,,,,0,,,,N,0,
38,CUST,"Molotsi, Hugh:4697 W. Indian Trail",95,1071503656,Hugh Molotsi,6856 Ocean View,Bayshore CA 94326,,,hugh Molotsi,4697 W. Indian Trail,"Middlefield, CA  98731",,,415-555-4535,,,,,Hugh Molotsi,,Commercial,,N,,,,,San Domingo,,,,Hugh,,Molotsi,,,,,,,,,,,,,,,,,,0,,,,N,0,
39,CUST,"Molotsi, Hugh:6856 Ocean View",93,1071502139,Hugh Molotsi,6856 Ocean View,Bayshore CA 94326,,,,,,,,415-555-4535,,,,,Hugh Molotsi,,Commercial,,N,,,,,San Domingo,,,,Hugh,,Molotsi,,,,,,,,,,,,,,,,,,0,,,,N,0,
40,CUST,"Morearty, Brian",57,1071503330,Brian Morearty,782 Skyline Drive,East Bayshore CA 94327,,,,,,,,415-555-7938,415-555-9611,,brian_m@samplename.com,,Brian Morearty,J. Clark Mitchell,Commercial,Net 30,Y,Tax,,,,San Domingo,,Mr.,,Brian,,Morearty,,,,,,,,,,,,,,,,,,0,,,,N,0,
41,CUST,"Muchemu, Margaret",67,1071506469,Margaret Muchemu,8292 Orange Blossom Dr,Bayshore CA 94326,,,,,,,,415-555-4187,,,,,Margaret Muchemu,Lori Siegerman,Residential,Net 30,Y,Tax,,,,San Domingo,,,,Margaret,,Muchemu,,,,,,,,,,,,,,,,,,0,,,,N,0,
42,CUST,Paxton Consulting,19,934380929,Drew Paxton,608 Main St,"Bayshore, CA 94326",,,,,,,,415-555-8462,,415-555-8463,drew@samplename.com,,Drew Paxton,,Commercial,Net 30,Y,Tax,,,,San Thomas Group,,Mr.,,Drew,,Paxton,,4/10,5/09,,,,,,,,,,,,,,,0,,,,N,0,
43,CUST,"Perry, Dave",89,1071508775,Dave Perry,215 W. Jupiter,"Middlefield, CA  98737",,,,,,,,415-555-8439,,,,,Dave Perry,,,,Y,Tax,,,,"County, San Thomas",,,,Dave,,Perry,,,,,,,,,,,,,,,,,,0,,,,N,0,
44,CUST,"Pretell, Erika",20,934380929,Erika Pretell,450 Happy Hollow Ave.,"Bayshore, CA 94623",,,,,,,,415-555-0352,,,erika@samplename.com,,Erika Pretell,,Residential,Net 30,Y,Tax,,,,San Thomas Group,,,,Erika,,Pretell,,11-23,,,,,,,,,,,,,,,,0,,,,N,0,
45,CUST,"Pretell, Erika:Pretell Estates",103,1071522050,Erika Pretell,450 Happy Hollow Ave.,"Bayshore, CA 94623",,,Erika Pretell,Pretell Estates Apartments,,,,415-555-0352,415-555-7336,,,,Erika Pretell,,Commercial,Net 15,N,,,,,San Thomas Group,,,,Erika,,Pretell,,11-23,,,,,,,,,,,,,,,,0,,,,N,0,
46,CUST,"Pretell, Erika:Residential",104,1071522117,Erika Pretell,450 Happy Hollow Ave.,"Bayshore, CA 94623",,,,,,,,415-555-0352,,,,,Erika Pretell,,Residential,Net 15,N,,,,,San Thomas Group,,,,Erika,,Pretell,,11-23,,,,,,,,,,,,,,,,0,,,,N,0,
47,CUST,"Price,  Gwen",62,1071505537,Gwen Price,1421 Silverbell Ave,East Bayshore CA 94327,,,,,,,,415-555-1154,,,gprice@samplename.com,,Gwen Price,Katherine Kuplis,Residential,Net 30,Y,Tax,,,,San Domingo,,,,Gwen,,Price,,,,,,,,,,,,,,,,,,0,,,,N,0,
48,CUST,Retail Sales,90,1071524722,Retail Sales,,,,,,,,,,,,,,,,,,,Y,Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,N,0,
49,CUST,"Rosenstock, Amy",70,1071507326,Rosenstock Books,Amy Rosenstock,451 Main St,Bayshore CA 94326,,,,,,,415-555-3331,415-555-3332,415-555-2404,amy@samplename.com,,Amy Rosenstock,Mary Sloan,Commercial,Net 30,Y,Tax,"3,000.00",,Shane B. Hamby:3:SBH,San Domingo,,,Rosenstock Books,Amy,,Rosenstock,,,,,,,,,,,,,,,,,,3,,,,N,0,
50,CUST,"Rummens, Susie",87,1071508661,Susie Rummens,2877 S. Rosebush,"Middlefield, CA  98731",,,,,,,,415-55-54155,,,,,Susie Rummens,,,Due on receipt,Y,Tax,,,,"County, San Thomas",,,,Susie,,Rummens,,,,,,,,,,,,,,,,,,0,,,,N,0,
51,CUST,"Rummens, Susie:2877 S Rosebush",101,1071509105,Susie Rummens,2877 S. Rosebush,"Middlefield, CA  98731",,,,,,,,415-55-54155,,,,,Susie Rummens,,,,N,,,,,"County, San Thomas",,,,Susie,,Rummens,,,,,,,,,,,,,,,,,,0,,,,N,0,
52,CUST,"Rummens, Susie:721 Fern Lane",102,1071516786,Susie Rummens,2877 S. Rosebush,"Middlefield, CA  98731",,,Fran Smallson,721 Fern Lane,Bayshore CA  94326,,,415-555-4155,415-555-3321,,,,Susie Rummens,Fran Smallson,,Due on receipt,N,,,,,"County, San Thomas",,,,Susie,,Rummens,,,,,,,,,,,,,,,,,,0,,,,N,0,
53,CUST,Russell Chiropractic,63,1071506012,Russell Chiropractic,Mark Russell,320 Main St,Bayshore CA 94326,,,,,,,415-555-9050,415-555-9045,415-555-9007,,,Mark Russell,,Commercial,Net 30,Y,Tax,,,Shane B. Hamby:3:SBH,San Domingo,,,Russell Chiropractic,Mark,,Russell,,,,,,,,,,,,,,,,Monthly Maintenance,Contract,3,,,,N,0,
54,CUST,"Sage, Robert",86,1071508618,Robert Sage,610 N. Mission Ave,"Middlefield, CA 98731",,,,,,,,415-555-5612,,,,,Robert Sage,,,Net 30,Y,Tax,,,,"County, San Thomas",,,,Robert,,Sage,,,,,,,,,,,,,,,,,,0,,,,N,0,
55,CUST,"Sonnenschein, Russ",68,1071507094,Russ Sonnenschein,2353 Lisa Lane,Bayshore CA 94326,,,,,,,,415-555-2174,,,,,Russ Sonnenschein,Jason Burch,Residential,,Y,Tax,,,,San Domingo,,,,Russ,,Sonnenschein,,,,,,,,,,,,,,,,,,0,,,,N,0,
56,CUST,"Stinson, Tracy",85,1071508586,Tracy Stinson,70122 N. Charleston Lane,East Bayshore CA 94327,,,,,,,,415-555-2351,,,tstinson@samplename.com,,Tracy Stinson,,,Net 15,Y,Tax,,,,"County, San Thomas",,,,Tracy,,Stinson,,,,,,,,,,,,,,,,,,0,,,,N,0,
57,CUST,"Theurer-Davis, Vicki",66,1071506387,Vicki Theurer-Davis,213 Fern Lane,Bayshore CA 94326,,,,,,,,415-555-2335,415-555-2900,,vicki@samplename.com,,Vicki Theurer-Davis,Keiffer,Residential,8% 30 Net 60,Y,Tax,,,,San Domingo,,,,Vicki,,Theurer-Davis,Keiffer,6/30,,,,,,,,,,,,,,,,0,,,,N,0,
58,CUST,"Theurer-Davis, Vicki:Irrigation & Lawn",81,1071506314,Vicki Theurer-Davis,213 Fern Lane,Bayshore CA 94326,,,,,,,,415-555-2335,,,,,Vicki Theurer-Davis,,,8% 30 Net 60,N,,,,,San Domingo,,,,Vicki,,Theurer-Davis,,,,,,,,,,,,,,,,Install 4 Zone In-ground Irregation & Sod,Installation,3,2024-11-03,2024-12-19,,N,0,
59,CUST,"Theurer-Davis, Vicki:Spa",80,1071504256,Vicki Theurer-Davis,213 Fern Lane,Bayshore CA 94326,,,,,,,,415-555-2335,,,,,Vicki Theurer-Davis,,Residential,,N,,,,,San Domingo,,,,Vicki,,Theurer-Davis,,,,,,,,,,,,,,,,Install - 6 Man Spa,New Construction,3,2024-09-15,2024-12-19,2024-12-19,N,0,
60,CUST,"Theurer-Davis, Vicki:Sun Deck",79,1071503581,Vicki Theurer-Davis,213 Fern Lane,Bayshore CA 94326,,,,,,,,415-555-2335,415-555-2900,n/a,,4618600,Vicki Theurer-Davis,Keiffer,Residential,,N,,"5,000.00",,,San Domingo,,,,Vicki,,Theurer-Davis,Keiffer,6/30,,,,,,,,,,,,,,Pergola Deck 14' x 20',New Construction,4,2024-10-13,2024-10-31,2024-10-31,N,0,
61,CUST,"Tumacder, Jacint",65,1071506307,Jacint Tumacder,143 Bay View Dr,Esat Bayshore CA 94327,,,,,,,,415-555-4132,,415-555-4133,jtumacder@samplename.com,3060226,Jacint Tumacder,,,Due on receipt,Y,Tax,,,,San Domingo,,,,Jacint,,Tumacder,,,,,,,,,,,,,,,,,,0,,,,N,0,
62,CUST,"Walker, Rich",64,1071506196,Rich Walker,3219 Lisa Lane,Bayshore CA 94326,,,,,,,,415-555-8046,,,,07264801,Rich Walker,,Residential,Net 30,Y,Tax,,,Shane B. Hamby:3:SBH,San Domingo,,Mr.,,Rich,,Walker,,,,,,,,,,,,,,,,,,0,,,,N,0,
63,CUST,"Williams, Abraham",21,934380929,Abe's Lock & Key,6845 Ocean View Rd.,"Bayshore, CA 94326",,,,,,,,415-555-4411,,,,,Abraham J. Williams,,Residential,Due on receipt,Y,Tax,,,,San Domingo,10/25/2003:  Called to complain that the walkway was damaged when the lights were being installed.\n\n11/5/2003: Confirmed with Abe that the walkway repair was completed to his satisfaction.,Mr.,Abe's Lock & Key,Abraham,J.,Williams,Linda,8/13,,,,,,,,,,,,,,,,4,,,,N,0,
64,CUST,Wood's Garden Cafe,84,1071508553,Deborah Wood,609 N. Mission Ave,"Middlefield, CA  94331",,,,,,,,415-555-9444,,,dwood@samplename.com,,Deborah Wood,,Commercial,Net 30,Y,Tax,750.00,,,"County, San Thomas",,,Wood's Garden Cafe,Deborah,,Wood,,,,,,,,,,,,,,,,,,0,,,,N,0,
